Key,english
perkASMiningToolsDesc,Increased by using mining tools to harvest blocks. Increases block damage and resource gathering when using mining tools.\n\nCurrent XP/XP to Next Level: {cvar($AS_MiningTools_XP:0)}/{cvar($AS_MiningTools_LvlNextTotal:0)}
perkASScavengingName,Scavenging
perkASScavengingDesc,Increased by looting containers and wrenching items. Increases loot gamestage for better loot and decreases scavenging time.\n\nCurrent XP/XP to Next Level: {cvar($AS_Scavenging_XP:0)}/{cvar($AS_Scavenging_LvlNextTotal:0)}
perkASArcheryName,Archery Weapons
perkASArcheryDesc,Increased by using bows and crossbows. Increases rate of fire and damage for those weapons.\n\nCurrent XP/XP to Next Level: {cvar($AS_Archery_XP:0)}/{cvar($AS_Archery_LvlNextTotal:0)}
perkASAutomaticsName,Automatic Weapons
perkASAutomaticsDesc,Increased by using automatic weapons. Increases damage with those weapons.\n\nCurrent XP/XP to Next Level: {cvar($AS_Automatics_XP:0)}/{cvar($AS_Automatics_LvlNextTotal:0)}
perkASBluntName,Blunt Weapons
perkASBluntDesc,Increased by using blunt weapons. Increases damage with those weapons.\n\nCurrent XP/XP to Next Level: {cvar($AS_Blunt_XP:0)}/{cvar($AS_Blunt_LvlNextTotal:0)}
perkASBladedName,Bladed Weapons
perkASBladedDesc,Increased by using bladed weapons. Increases damage with those weapons.\n\nCurrent XP/XP to Next Level: {cvar($AS_Bladed_XP:0)}/{cvar($AS_Bladed_LvlNextTotal:0)}\n\n当前XP / XP到下一个级别： {cvar($AS_Bladed_XP:0)}/{cvar($AS_Bladed_LvlNextTotal:0)},通過使用刀刃武器增加。提高傷害與武器。\n\n當前XP / XP到下一個級別： {cvar($AS_Bladed_XP:0)}/{cvar($AS_Bladed_LvlNextTotal:0)},El aumento mediante el uso de armas blancas. Aumenta el daño con esas armas.\n\nActuales XP / XP a Nivel siguiente: {cvar($AS_Bladed_XP:0)}/{cvar($AS_Bladed_LvlNextTotal:0)}
perkASPistolsName,Pistol Weapons
perkASPistolsDesc,Increased by using pistol weapons. Increases damage with those weapons.\n\nCurrent XP/XP to Next Level: {cvar($AS_Pistols_XP:0)}/{cvar($AS_Pistols_LvlNextTotal:0)}
perkASShotgunsName,Shotgun Weapons
perkASShotgunsDesc,Increased by using shotgun weapons. Increases damage with those weapons.\n\nCurrent XP/XP to Next Level: {cvar($AS_Shotguns_XP:0)}/{cvar($AS_Shotguns_LvlNextTotal:0)}
perkASRiflesName,Rifle Weapons
perkASRiflesDesc,Increased by using rifle weapons. Increases damage with those weapons.\n\nCurrent XP/XP to Next Level: {cvar($AS_Rifles_XP:0)}/{cvar($AS_Rifles_LvlNextTotal:0)}
reqattTechnology,Technology 1
reqNoBioBoost,No Bio Boost Perks
reqNoTechBoost,No Tech Boost Perks
reqAthletics1,Athletics 1
reqAthletics10,Athletics 10
reqAthletics20,Athletics 20
reqAthletics40,Athletics 40
reqAthletics60,Athletics 60
reqScavenging1,Scavenging 1
reqScavenging10,Scavenging 10
reqScavenging20,Scavenging 20
reqScavenging40,Scavenging 40
reqScavenging60,Scavenging 60
reqBluntWeapons1,Blunt Weapons 1
reqBluntWeapons10,Blunt Weapons 10
reqBluntWeapons20,Blunt Weapons 20
reqBluntWeapons40,Blunt Weapons 40
reqBluntWeapons60,Blunt Weapons 60
reqBladedWeapons1,Bladed Weapons 1
reqBladedWeapons10,Bladed Weapons 10
reqBladedWeapons20,Bladed Weapons 20
reqBladedWeapons40,Bladed Weapons 40
reqBladedWeapons60,Bladed Weapons 60
reqBladedWeapons80,Bladed Weapons 80
reqMiningTools1,Mining Tools 1
reqMiningTools10,Mining Tools 10
reqMiningTools20,Mining Tools 20
reqMiningTools40,Mining Tools 40
reqMiningTools60,Mining Tools 60
reqPistols1,Pistols 1
reqPistols10,Pistols 10
reqPistols20,Pistols 20
reqPistols40,Pistols 40
reqPistols60,Pistols 60
reqPistols80,Pistols 80
reqShotguns1,Shotguns 1
reqShotguns10,Shotguns 10
reqShotguns20,Shotguns 20
reqShotguns40,Shotguns 40
reqShotguns60,Shotguns 60
reqShotguns80,Shotguns 80
reqAutomatics1,Automatics 1
reqAutomatics10,Automatics 10
reqAutomatics20,Automatics 20
reqAutomatics40,Automatics 40
reqAutomatics60,Automatics 60
reqAutomatics80,Automatics 80
reqArchery1,Archery 1
reqArchery10,Archery 10
reqArchery20,Archery 20
reqArchery40,Archery 40
reqArchery60,Archery 60
reqArchery80,Archery 80
reqRifles1,Rifles 1
reqRifles10,Rifles 10
reqRifles20,Rifles 20
reqRifles40,Rifles 40
reqRifles60,Rifles 60
reqRifles80,Rifles 80
reqArmor1,Armor Crafting 1
reqArmor2,Armor Crafting 2
reqArmor3,Armor Crafting 3
reqArmor4,Armor Crafting 4
reqArmor5,Armor Crafting 5
reqScience1,Science Crafting 1
reqScience2,Science Crafting 2
reqScience3,Science Crafting 3
reqScience4,Science Crafting 4
reqScience5,Science Crafting 5
reqTools1,Tool Crafting 1
reqTools2,Tool Crafting 2
reqTools3,Tool Crafting 3
reqTools4,Tool Crafting 4
reqTools5,Tool Crafting 5
reqWeapons1,Weapon Crafting 1
reqWeapons2,Weapon Crafting 2
reqWeapons3,Weapon Crafting 3
reqWeapons4,Weapon Crafting 4
reqWeapons5,Weapon Crafting 5
reqGuns1,Gun Crafting 1
reqGuns2,Gun Crafting 2
reqGuns3,Gun Crafting 3
reqGuns4,Gun Crafting 4
reqGuns5,Gun Crafting 5
reqCTools10,Construction Tools 10
reqCTools15,Construction Tools 15
reqSteelCrafting,Steel Crafting
reqForgeAhead,Forge Ahead 1
reqComplete,"Complete all classes, all their masteries and the Technology Crafting perk."
perkHealthNutName,Health Nut
perkHealthNutDesc,Raise your wellness with this perk.
perkHealthNutRank1Desc,Casual Walker
perkHealthNutRank2Desc,Power Walker
perkHealthNutRank3Desc,Jogging Asshole
perkHealthNutRank4Desc,Cross-Country Runner
perkHealthNutRank5Desc,Marathon Competitor
perkHealthNutRank1LongDesc,Increase Wellness by 10. Increase minimum wellness to 60 Increases maximum wellness by 20
perkHealthNutRank2LongDesc,Increase Wellness by 10. Increase minimum wellness to 70 Increases maximum wellness by 40
perkHealthNutRank3LongDesc,Increase Wellness by 10. Increase minimum wellness to 80 Increases maximum wellness by 60
perkHealthNutRank4LongDesc,Increase Wellness by 10. Increase minimum wellness to 90 Increases maximum wellness by 80
perkHealthNutRank5LongDesc,Increase Wellness by 10. Increase minimum wellness to 100 Increases maximum wellness by 100
perkSexualTrexDesc,You have the stamina of this ancient beast! Regain stamina faster with every rank.
perkSexualTrexName,Sexual Tyrannosaurus
perkSexualTrexRank1Desc,Couch Potato
perkSexualTrexRank2Desc,Bench Warmer
perkSexualTrexRank3Desc,Athlete
perkSexualTrexRank1LongDesc,Increase stamina regeneration by 10%
perkSexualTrexRank2LongDesc,Increase stamina regeneration by 20%
perkSexualTrexRank3LongDesc,Increase stamina regeneration by 30%
perkParkourName,Parkour
perkParkourRank1Desc,Tumbler
perkParkourRank2Desc,Stuntman
perkParkourRank3Desc,Thrill Seeker
perkParkourRank4Desc,Adrenaline Junkie
perkParkourRank5Desc,Parkour Master
perkParkourDesc,"Specialize in acrobatically getting anywhere you want to go, no matter how far up or far down that may be."
perkParkourRank1LongDesc,Increase safe fall distance by 1 meter. Reduce stamina cost of jumping by 10%. Can jump 1 block from crouching.
perkParkourRank2LongDesc,Increase safe fall distance by 2 meters. Reduce stamina cost of jumping by 20%.
perkParkourRank3LongDesc,Increase safe fall distance by 3 meters. Jump 1 meter higher.
perkParkourRank4LongDesc,Increase safe fall distance by 4 meters. Never get a sprained leg.
perkParkourRank5LongDesc,Increase safe fall distance by 5 meters. Jump 2 meters higher and never get a broken leg. Immunity to landmines.
perkPackMuleDesc,You're a pack mule and can carry more items in your inventory without suffering movement penalties.
perkPackMuleName,Pack Mule
perkPackMuleRank1Desc,Disorganized
perkPackMuleRank2Desc,Bag Lady
perkPackMuleRank3Desc,Neat and Tidy
perkPackMuleRank1LongDesc,Who has time to organize their stuff perfectly? Carry 7 more items without being encumbered.
perkPackMuleRank2LongDesc,You know it's in there somewhere. Carry 14 more items without being encumbered.
perkPackMuleRank3LongDesc,You know exactly where everything is. Carry 21 more items without being encumbered.
perkFastEddieName,Fast Eddie
perkFastEddieDesc,Loot 10% faster with each rank of this perk!
perkFastEddieRank1Desc,Increase looting speed by 10%
perkFastEddieRank2Desc,Increase looting speed by 20%
perkFastEddieRank3Desc,Increase looting speed by 30%
perkFastEddieRank4Desc,Increase looting speed by 40%
perkFastEddieRank5Desc,Increase looting speed by 50%
perkQualityJoeName,Quality Joe
perkQualityJoeDesc,Increases the chance of finding better quality items while looting.
perkQualityJoeRank1Desc,Increase loot level depending on player level.\nLevel 1-25: Increases Loot Level by 5.\nLevel 26-50: Increases Loot Level by 10.\nLevel 51-100: Increases Loot Level by 20.\nLevel 101-150: Increases Loot Level by 30.\nLevel 151-200: Increases Loot Level by 40.\nLevel 201+: Increases Loot Level by 50.
perkQualityJoeRank2Desc,Increase loot level depending on player level.\nLevel 1-25: Increases Loot Level by 10.\nLevel 26-50: Increases Loot Level by 20.\nLevel 51-100: Increases Loot Level by 40.\nLevel 101-150: Increases Loot Level by 60.\nLevel 151-200: Increases Loot Level by 80. \nLevel 201+: Increases Loot Level by 100.
perkQualityJoeRank3Desc,Increase loot level depending on player level.\nLevel 1-25: Increases Loot Level by 15.\nLevel 26-50: Increases Loot Level by 30.\nLevel 51-100: Increases Loot Level by 60.\nLevel 101-150: Increases Loot Level by 90.\nLevel 151-200: Increases Loot Level by 120.\nLevel 201+: Increases Loot Level by 150.
perkQualityJoeRank4Desc,Increase loot level depending on player level.\nLevel 1-25: Increases Loot Level by 20.\nLevel 26-50: Increases Loot Level by 40.\nLevel 51-100: Increases Loot Level by 80.\nLevel 101-150: Increases Loot Level by 120.\nLevel 151-200: Increases Loot Level by 160.\nLevel 201+: Increases Loot Level by 200.
perkQualityJoeRank5Desc,Increase loot level depending on player level.\nLevel 1-25: Increases Loot Level by 25.\nLevel 26-50: Increases Loot Level by 50.\nLevel 51-100: Increases Loot Level by 100.\nLevel 101-150: Increases Loot Level by 150.\nLevel 151-200: Increases Loot Level by 200.\nLevel 201+: Increases Loot Level by 250.
perkTreasureHunterName,Treasure Hunter
perkTreasureHunterDesc,Arrrgh Mateys! Improve your compass treasure tracking and get better at finding treasure.
perkTreasureHunterRank1Desc,Narrows down buried treasure location by 2 meters.
perkTreasureHunterRank2Desc,Narrows down buried treasure location by 3 meters.
perkTreasureHunterRank3Desc,Narrows down buried treasure location by 4 meters.
perkTreasureHunterRank4Desc,Narrows down buried treasure location by 5 meters.
perkTreasureHunterRank5Desc,Narrows down buried treasure location by 6 meters.
perkPummelPeteDesc,Blunt instruments do more damage and swinging is easier with a better technique.
perkPummelPeteName,Pummel Pete
perkPummelPeteRank1Desc,RoughNeck
perkPummelPeteRank2Desc,Thug
perkPummelPeteRank3Desc,Big Leagues
perkPummelPeteRank4Desc,Stay Down
perkPummelPeteRank5Desc,Pummel Pete
perkPummelPeteRank1LongDesc,Increase damage of blunt weapons by 10%. Decrease stamina usage with blunt weapons by 10%. 60% chance of knockdown on primary attack.
perkPummelPeteRank2LongDesc,Increase damage of blunt weapons by 20%. Decrease stamina usage with blunt weapons by 20%. 70% chance of knockdown on primary attack.
perkPummelPeteRank3LongDesc,Increase damage of blunt weapons by 30%. Decrease stamina usage with blunt weapons by 30%. 80% chance of knockdown on primary attack. Adds 10% damage on successful attack. 20% chance of knockdown in an AOE on power attack.
perkPummelPeteRank4LongDesc,Increase damage of blunt weapons by 40%. Decrease stamina usage with blunt weapons by 40%. 90% chance of knockdown on primary attack. Adds 10% damage on successful attack. 40% chance of knockdown in an AOE on power attack.
perkPummelPeteRank5LongDesc,Increase damage of blunt weapons by 50%. Decrease stamina usage with blunt weapons by 50%. 100% chance of knockdown on primary attack. Adds 10% damage on successful attack. 60% chance of knockdown in an AOE on power attack.
perkBreakingAndEnteringName,Breaking And Entering
perkBreakingAndEnteringDesc,...but mostly breaking. Get better at smashing doors or walls with a blunt weapon.
perkBreakingAndEnteringRank1Desc,Increase block damage of blunt weapons by 40%
perkBreakingAndEnteringRank2Desc,Increase block damage of blunt weapons by 80%
perkBreakingAndEnteringRank3Desc,Increase block damage of blunt weapons by 120%
perkBreakingAndEnteringRank4Desc,Increase block damage of blunt weapons by 160%
perkBreakingAndEnteringRank5Desc,Increase block damage of blunt weapons by 200%. Decreases protection of land claims by 20%
perkKnifeGuyName,Knife Guy
perkKnifeGuyDesc,He's a real knife guy. Do more damage with blades and keep stabbing for longer with each rank.
perkKnifeGuyRank1Desc,Increase damage of bladed weapons by 10% Decrease stamina usage with bladed weapons by 10% Increase harvest count by 10% Increase damage with bladed weapons on head attacks by 10% Increase decapitation chance by 5%
perkKnifeGuyRank2Desc,Increase damage of bladed weapons by 20% Decrease stamina usage with bladed weapons by 20% Increase harvest count by 15%
perkKnifeGuyRank3Desc,Increase damage of bladed weapons by 30% Decrease stamina usage with bladed weapons by 30% Increase harvest count by 20% Increase damage with bladed weapons on head attacks by 20% Increase decapitation chance by 10%
perkKnifeGuyRank4Desc,Increase damage of bladed weapons by 40% Decrease stamina usage with bladed weapons by 40% Increase harvest count by 25%
perkKnifeGuyRank5Desc,Increase damage of bladed weapons by 50% Decrease stamina usage with bladed weapons by 50% Increase harvest count by 30% Increase damage with bladed weapons on head attacks by 30% Increase decapitation chance by 15%
perkKnifeGuyRank1ShortDesc,Knife Guy 1
perkKnifeGuyRank2ShortDesc,Knife Guy 2
perkKnifeGuyRank3ShortDesc,Knife Guy 3
perkKnifeGuyRank4ShortDesc,Knife Guy 4
perkKnifeGuyRank5ShortDesc,Knife Guy 5
perkMiner69rDesc,Maximize your mining efforts by increasing block damage to bring down rocks and trees faster.
perkMiner69rName,Miner 69'er
perkMiner69rRank1Desc,Tool Nipper
perkMiner69rRank2Desc,Johnny Newcome
perkMiner69rRank3Desc,Muckman
perkMiner69rRank4Desc,Boulder Buster
perkMiner69rRank5Desc,Miner 69'er
perkMiner69rRank1LongDesc,Increase damage of mining tools to blocks by 20% Decrease stamina usage with mining tools by 10% Increase harvest count with mining tools by 20%
perkMiner69rRank2LongDesc,Increase damage of mining tools to blocks by 40% Decrease stamina usage with mining tools by 20% Increase harvest count with mining tools by 40%
perkMiner69rRank3LongDesc,Increase damage of mining tools to blocks by 60% Decrease stamina usage with mining tools by 30% Increase harvest count with mining tools by 60%
perkMiner69rRank4LongDesc,Increase damage of mining tools to blocks by 80% Decrease stamina usage with mining tools by 40% Increase harvest count with mining tools by 80%
perkMiner69rRank5LongDesc,Increase damage of mining tools to blocks by 100% Decrease stamina usage with mining tools by 50% Increase harvest count with mining tools by 100%
perkTheOutlawName,The Outlaw
perkTheOutlawDesc,Settle your disputes the old way. It is the apocalypse after all.
perkTheOutlawRank1Desc,Increases fire rate for hand guns by 15%. Reload them 10% faster. Increases damage by 10% Increase damage with pistol weapons on head attacks by 10% Increase decapitation chance by 5%
perkTheOutlawRank2Desc,Increases fire rate for hand guns by 20%. Reload them 15% faster. Increases damage by 20%
perkTheOutlawRank3Desc,Increases fire rate for hand guns by 25%. Reload them 20% faster. Increases damage by 30% Increase damage with pistol weapons on head attacks by 20% Increase decapitation chance by 10%
perkTheOutlawRank4Desc,Increases fire rate for hand guns by 30%. Reload them 25% faster. Increases damage by 40%
perkTheOutlawRank5Desc,Increases fire rate for hand guns by 35%. Reload them 30% faster. Increases damage by 50% Increase damage with pistol weapons on head attacks by 30% Increase decapitation chance by 15%
perkTheOutlawRank1ShortDesc,The Outlaw 1
perkTheOutlawRank2ShortDesc,The Outlaw 2
perkTheOutlawRank3ShortDesc,The Outlaw 3
perkTheOutlawRank4ShortDesc,The Outlaw 4
perkTheOutlawRank5ShortDesc,The Outlaw 5
perkBoomStickName,Boom Stick
perkBoomStickDesc,This... is my BOOM STICK!
perkBoomStickRank1Desc,Increases fire rate for shotguns by 15%. Reload them 10% faster. Increases damage by 10% Increase damage with shotgun weapons on head attacks by 10% Increase decapitation chance by 5%
perkBoomStickRank2Desc,Increases fire rate for shotguns by 20%. Reload them 15% faster. Increases damage by 20%
